Date,Location,Corps,Class,Rank,Total,CTot,GE1_Rep,GE1_Perf,GE1_Tot,GE1_Rep2,GE1_Perf2,GE1_Tot2,GE2_Rep,GE2_Perf,GE2_Tot,GE2_Rep2,GE2_Perf2,GE2_Tot2,GE_Tot,VP_Cont,VP_Achv,VP_Tot,VA_Comp,VA_Achv,VA_Tot,CG_Cont,CG_Achv,CG_Tot,Vis_Tot,MB_Cont,MB_Achv,MB_Tot,MA_Cont,MA_Achv,MA_Tot,MA_Cont2,MA_Achv2,MA_Tot2,MP_Cont,MP_Achv,MP_Tot,Mus_Tot,Penalties
6/26/2024,"Rockford, MI",Boston Crusaders,World,1st,73.000,73.000,7.800,7.600,15.400,--,--,--,7.300,7.100,14.400,--,--,--,29.800,7.400,7.100,14.500,7.200,7.100,14.300,7.400,7.100,14.500,21.650,7.300,7.000,14.300,7.500,7.200,14.700,--,--,--,7.100,7.000,14.100,21.550,0.000
6/26/2024,"Rockford, MI",Phantom Regiment,World,2nd,70.150,70.150,7.500,7.300,14.800,--,--,--,7.200,7.000,14.200,--,--,--,29.000,7.200,6.800,14.000,6.900,6.700,13.600,7.000,6.600,13.600,20.600,7.100,6.700,13.800,7.200,7.000,14.200,--,--,--,6.700,6.400,13.100,20.550,0.000
6/26/2024,"Rockford, MI",The Cavaliers,World,3rd,68.250,68.250,7.100,6.600,13.700,--,--,--,7.100,6.800,13.900,--,--,--,27.600,7.100,6.700,13.800,6.700,6.600,13.300,6.800,6.100,12.900,20.000,7.000,6.400,13.400,7.300,6.800,14.100,--,--,--,7.200,6.600,13.800,20.650,0.000
6/26/2024,"Rockford, MI",Blue Stars,World,4th,66.650,66.650,7.200,6.900,14.100,--,--,--,6.800,6.500,13.300,--,--,--,27.400,7.000,6.300,13.300,6.500,6.300,12.800,7.100,6.300,13.400,19.750,6.700,6.200,12.900,7.000,6.600,13.600,--,--,--,6.500,6.000,12.500,19.500,0.000
6/26/2024,"Rockford, MI",Colts,World,5th,65.400,65.400,7.000,6.800,13.800,--,--,--,6.600,6.400,13.000,--,--,--,26.800,6.800,6.600,13.400,6.400,6.200,12.600,6.600,6.200,12.800,19.400,6.600,6.100,12.700,6.900,6.400,13.300,--,--,--,6.300,6.100,12.400,19.200,0.000
6/28/2024,"Walnut, CA",Blue Devils,World,1st,76.600,76.600,7.800,7.700,15.500,--,--,--,7.800,7.700,15.500,--,--,--,31.000,7.700,7.400,15.100,7.800,7.400,15.200,7.700,7.500,15.200,22.750,7.700,7.400,15.100,7.700,7.500,15.200,--,--,--,7.900,7.500,15.400,22.850,0.000
6/28/2024,"Walnut, CA",Santa Clara Vanguard,World,2nd,72.650,72.650,7.200,7.200,14.400,--,--,--,7.600,7.400,15.000,--,--,--,29.400,7.400,7.100,14.500,7.200,7.000,14.200,7.200,6.900,14.100,21.400,7.400,7.200,14.600,7.000,6.800,13.800,--,--,--,7.700,7.600,15.300,21.850,0.000
6/28/2024,"Walnut, CA",Mandarins,World,3rd,71.650,71.650,7.500,7.300,14.800,--,--,--,7.400,7.100,14.500,--,--,--,29.300,7.300,6.800,14.100,7.300,7.100,14.400,7.300,7.100,14.400,21.450,7.200,7.000,14.200,6.800,6.600,13.400,--,--,--,7.300,6.900,14.200,20.900,0.000
6/28/2024,"Walnut, CA",Pacific Crest,World,4th,64.300,64.300,6.600,6.400,13.000,--,--,--,6.700,6.300,13.000,--,--,--,26.000,6.400,6.000,12.400,6.500,6.000,12.500,6.600,6.200,12.800,18.850,6.500,6.200,12.700,6.400,6.300,12.700,--,--,--,6.900,6.600,13.500,19.450,0.000
6/28/2024,"Walnut, CA",Blue Devils B,Open,1st,61.950,61.950,6.300,6.100,12.400,--,--,--,6.400,5.900,12.300,--,--,--,24.700,6.300,5.900,12.200,6.600,6.200,12.800,6.100,5.700,11.800,18.400,6.400,6.000,12.400,6.300,6.200,12.500,--,--,--,6.500,6.300,12.800,18.850,0.000
6/28/2024,"Walnut, CA",Gold,Open,2nd,59.000,59.000,6.100,6.000,12.100,--,--,--,6.100,5.700,11.800,--,--,--,23.900,5.800,5.600,11.400,5.800,5.300,11.100,5.800,5.600,11.400,16.950,6.100,5.800,11.900,6.200,6.000,12.200,--,--,--,6.200,6.000,12.200,18.150,0.000
6/28/2024,"Walnut, CA",Impulse,Open,3rd,52.000,52.000,5.600,5.400,11.000,--,--,--,5.400,5.100,10.500,--,--,--,21.500,5.300,4.900,10.200,5.000,4.800,9.800,5.500,5.200,10.700,15.350,5.300,5.000,10.300,5.000,4.800,9.800,--,--,--,5.200,5.000,10.200,15.150,0.000
6/28/2024,"Walnut, CA",Vessel,Open,4th,49.850,49.850,5.300,5.000,10.300,--,--,--,5.100,4.800,9.900,--,--,--,20.200,5.200,4.500,9.700,4.800,4.700,9.500,5.000,4.500,9.500,14.350,5.000,4.700,9.700,4.800,4.600,9.400,--,--,--,5.900,5.600,11.500,15.300,0.000
6/28/2024,"Walnut, CA",Blue Devils C,Open,5th,46.700,46.700,5.200,4.800,10.000,--,--,--,5.200,4.400,9.600,--,--,--,19.600,4.900,4.100,9.000,4.300,4.300,8.600,4.900,4.400,9.300,13.450,4.700,4.400,9.100,4.500,4.300,8.800,--,--,--,4.900,4.500,9.400,13.650,0.000
6/28/2024,"Muncie, IN",Carolina Crown,World,1st,74.900,74.900,7.400,7.500,14.900,--,--,--,7.800,7.600,15.400,--,--,--,30.300,7.700,7.500,15.200,7.600,7.400,15.000,7.500,7.100,14.600,22.400,7.600,7.500,15.100,7.700,7.400,15.100,--,--,--,7.300,6.900,14.200,22.200,0.000
6/28/2024,"Muncie, IN",Boston Crusaders,World,2nd,74.700,74.700,7.600,7.400,15.000,--,--,--,7.600,7.400,15.000,--,--,--,30.000,7.500,7.200,14.700,7.700,7.500,15.200,7.600,7.300,14.900,22.400,7.500,7.300,14.800,7.500,7.300,14.800,--,--,--,7.700,7.300,15.000,22.300,0.000
6/28/2024,"Muncie, IN",Phantom Regiment,World,3rd,72.150,72.150,7.300,7.200,14.500,--,--,--,7.400,7.300,14.700,--,--,--,29.200,7.400,7.100,14.500,7.200,7.000,14.200,7.000,6.800,13.800,21.250,7.300,7.100,14.400,7.600,7.100,14.700,--,--,--,7.200,7.100,14.300,21.700,0.000
6/28/2024,"Muncie, IN",The Cavaliers,World,4th,69.100,69.100,6.700,7.000,13.700,--,--,--,7.200,6.900,14.100,--,--,--,27.800,7.200,6.800,14.000,6.900,6.500,13.400,6.800,6.300,13.100,20.250,6.900,6.800,13.700,7.400,6.900,14.300,--,--,--,7.400,6.700,14.100,21.050,0.000
6/28/2024,"Muncie, IN",Blue Stars,World,5th,67.200,67.200,6.900,6.500,13.400,--,--,--,7.000,6.800,13.800,--,--,--,27.200,6.900,6.300,13.200,6.700,6.600,13.300,7.100,6.400,13.500,20.000,6.800,6.500,13.300,7.000,6.800,13.800,--,--,--,6.600,6.300,12.900,20.000,0.000
6/28/2024,"Muncie, IN",Colts,World,6th,67.100,67.100,6.800,6.700,13.500,--,--,--,7.100,6.500,13.600,--,--,--,27.100,6.800,6.600,13.400,6.600,6.400,13.000,6.700,6.200,12.900,19.650,6.700,6.700,13.400,6.900,6.700,13.600,--,--,--,6.900,6.800,13.700,20.350,0.000
6/29/2024,"Walnut, CA",Blue Devils,World,1st,77.100,77.100,7.700,7.700,15.400,--,--,--,7.900,7.800,15.700,--,--,--,31.100,7.800,7.600,15.400,7.800,7.500,15.300,7.800,7.500,15.300,23.000,7.800,7.500,15.300,7.800,7.500,15.300,--,--,--,7.900,7.500,15.400,23.000,0.000
6/29/2024,"Walnut, CA",Santa Clara Vanguard,World,2nd,72.350,72.350,7.000,7.100,14.100,--,--,--,7.200,7.000,14.200,--,--,--,28.300,7.500,7.100,14.600,7.400,7.300,14.700,7.500,7.000,14.500,21.900,7.400,7.000,14.400,7.400,7.200,14.600,--,--,--,7.700,7.600,15.300,22.150,0.000
6/29/2024,"Walnut, CA",Mandarins,World,3rd,71.250,71.250,7.300,7.000,14.300,--,--,--,7.000,6.700,13.700,--,--,--,28.000,7.300,7.000,14.300,7.500,7.400,14.900,7.300,7.300,14.600,21.900,7.300,7.300,14.600,7.000,6.800,13.800,--,--,--,7.300,7.000,14.300,21.350,0.000
6/29/2024,"Walnut, CA",Pacific Crest,World,4th,62.700,62.700,6.000,5.300,11.300,--,--,--,6.300,6.100,12.400,--,--,--,23.700,6.700,6.300,13.000,6.600,6.400,13.000,6.600,6.100,12.700,19.350,6.400,6.400,12.800,6.700,6.100,12.800,--,--,--,7.000,6.700,13.700,19.650,0.000
6/29/2024,"Walnut, CA",Blue Devils B,Open,1st,63.700,63.700,6.600,6.400,13.000,--,--,--,6.400,6.300,12.700,--,--,--,25.700,6.400,6.100,12.500,6.400,6.300,12.700,6.300,6.000,12.300,18.750,6.500,6.000,12.500,6.600,6.400,13.000,--,--,--,6.600,6.400,13.000,19.250,0.000
6/29/2024,"Walnut, CA",Gold,Open,2nd,59.450,59.450,5.800,5.200,11.000,--,--,--,6.300,6.200,12.500,--,--,--,23.500,6.100,5.700,11.800,6.000,5.700,11.700,5.900,5.800,11.700,17.600,6.200,5.900,12.100,6.200,6.000,12.200,--,--,--,6.500,5.900,12.400,18.350,0.000
6/29/2024,"Walnut, CA",Vessel,Open,3rd,50.000,50.000,4.800,4.600,9.400,--,--,--,5.100,4.700,9.800,--,--,--,19.200,5.300,4.700,10.000,5.000,4.800,9.800,5.300,4.700,10.000,14.900,4.900,4.900,9.800,5.500,5.100,10.600,--,--,--,5.900,5.500,11.400,15.900,0.000
